Id,question_id,label
1,1,country
2,1,head of state
3,1,Mahmoud Abbas
4,2,voice actresses
5,2,South Park
6,2,employment
7,2,singer
8,3,lakes on river
9,3,Lake Winnipeg
10,4,open cluster
11,4,MAX(radius)
12,5,end time
13,5,Jonathan Swift
14,5,residence
15,5,Whitehaven
16,6,mode of transport
17,6,vehicle
18,7,for work
19,7,Danny Elfman
20,7,nominated for
21,7,Academy Award for Best Original Score
22,8,opera
23,8,based on
24,8,Twelfth Night
25,9,located in the administrative territorial entity
26,9,Rideau Canal
27,9,mouth of the watercourse
28,9,Ottawa River
29,10,nominee
30,10,The Truman Show
31,10,nominated for
32,10,Academy Award for Best Supporting Actor
33,11,cinematic technique
34,11,tilt
35,12,historical period
36,12,time period
37,12,Muromachi period
38,12,period
39,13,deity
40,13,student
41,13,John the Apostle
42,14,socialist state
43,14,contains administrative territorial entity
44,14,Beijing
45,15,PIM authority ID
46,15,Paul Erdős
47,16,wedded to
48,16,Radha
49,16,children
50,16,Samba
51,17,point in time
52,17,Rio Grande do Sul
53,17,nominal GDP
54,17,1.15e+11
55,18,Minneapolis Institute of Art constituent ID
56,18,Johannes Gutenberg
57,19,born at
58,19,Bertha Benz
59,19,inhabitants
60,19,101165.0
61,20,Poetry In Voice poet ID
62,20,Percy Bysshe Shelley
63,21,TDKIV term ID
64,21,blog
65,22,cause of death
66,22,place of death
67,22,John_Denver
68,23,head of government
69,23,Seattle
70,23,work period (end)
71,24,human spaceflight
72,24,crew member
73,24,Yuri Gagarin
74,25,maximum Strahler number
75,25,Loire
76,26,medication
77,26,significant drug interaction
78,26,erythromycin
79,27,eponym
80,27,Lake Eyre
81,27,winner of
82,27,Founder’s Medal
83,28,religión étnica
84,28,practiced by
85,28,Jewish people
86,29,member of
87,29,find spot
88,29,Ebola virus disease
89,30,unit conversion
90,30,theme
91,30,joule
92,31,national sports team
93,31,country
94,31,Australia
95,31,team
96,32,time-weighted average exposure limit
97,32,cobalt
98,32,equals
99,32,0.1
100,33,ethnolect
101,33,indigenous to
102,33,United States of America
103,33,american
104,34,capital
105,34,twinned administrative body
106,34,Hamburg
107,35,married to
108,35,actor
109,35,Bepanaah
110,36,business
111,36,founded by
112,36,Ingvar Kamprad
113,37,eponym
114,37,Juan de Fuca Plate
115,37,died on
116,37,1602-1-1
117,38,significance
118,38,artist
119,38,The Beatles' Story
120,39,park
121,39,located in the administrative territorial entity
122,39,Rome
123,40,business
124,40,publisher
125,40,Space Invaders
126,41,BMLO
127,41,Frederick William I of Prussia
128,42,bordered by
129,42,is in
130,42,Southern Africa
131,43,IQ test
132,43,measures
133,43,intelligence
134,44,arterial supply
135,44,human nose
136,45,used for treatment
137,45,death cause
138,45,Madhavrao I
139,46,quantity buried
140,46,Brazilian Military Cemetery of Pistoia
141,46,equals
142,46,369.6
143,47,died in
144,47,Margaret Murray
145,47,county seat of
146,47,Kingdom of Essex
147,48,worked at
148,48,Louis Agassiz
149,48,subsidiary company
150,48,"Davis Center for Russian and Eurasian Studies, Harvard University"
151,49,follows
152,49,followed by
153,49,{Lothair I
154,49,noble title
155,49,king of Franks
156,50,albedo
157,50,Saturn
158,51,branch of science
159,51,volkerpsychologie
160,52,burial plot reference
